t,V_a,V_b,m,h,n,I_Na,I_K,I_L,I_syn_b,g_syn
1.9,5.113983879,-64.02444745,0.5626022874,0.4302598451,0.4103957291,-412.6934769,83.85538433,17.85029516,97.00553925,1.492518719
1.91,8.323861853,-63.08002927,0.5835258433,0.4260232327,0.4139308354,-423.333155,90.1745792,18.81325856,95.08109033,1.485074751
1.92,11.56731503,-62.16039889,0.60479503,0.4218118179,0.4176384704,-430.3535167,97.00139176,19.78629451,93.21133498,1.477667909
1.93,14.80297333,-61.26472082,0.6262568631,0.4176299751,0.4215147868,-433.2478145,104.3303118,20.756992,91.39431079,1.47029801
1.94,17.98457844,-60.39218531,0.6477448813,0.4134808816,0.4255529601,-431.7256714,112.142456,21.71147353,89.6281342,1.462964868
1.95,21.06329585,-59.54200292,0.669085529,0.4093667638,0.4297431608,-425.7824934,120.4050997,22.63508876,87.91098975,1.4556683
1.96,23.9907189,-58.71339948,0.6901055288,0.4052891209,0.4340727222,-415.7392812,129.0725661,23.51331567,86.24112077,1.448408124
1.97,26.7222529,-57.90561159,0.710639563,0.4012489118,0.438526512,-402.2390269,138.0886109,24.33277587,84.61682123,1.441184159
1.98,29.2204293,-57.11788227,0.730537483,0.3972467041,0.4430874904,-386.1940972,147.3901662,25.08222879,83.0364283,1.433996223
1.99,31.45764632,-56.34945682,0.7496702908,0.3932827864,0.4477374042,-368.6904985,156.9120095,25.7533939,81.49831543,1.426844137
2,33.41789727,-55.59957869,0.7679343096,0.3893572522,0.4524575486,-350.8660356,166.591687,26.34146918,80.00088596,1.419727722
2.01,35.09722607,-54.86748553,0.7852532389,0.3854700588,0.457229515,-333.7860782,176.3739311,26.84526782,78.54256694,1.4126468
2.02,36.50289486,-54.1524051,0.8015781079,0.3816210691,0.4620358489,-318.3404043,186.2139156,27.26696846,77.12180323,1.405601195
2.03,37.65149006,-53.45355125,0.8168854276,0.3778100804,0.4668605638,-305.1776955,196.0789465,27.61154702,75.73705177,1.39859073
2.04,38.56636208,-52.77011984,0.8311740297,0.3740368451,0.4716894792,-294.6835963,205.9485324,27.88600862,74.38677598,1.391615229
